City_ID,city,max_temp,weather,lat,lon,Hotel Name
1458,sur,82.47,overcast clouds,22.5667,59.5289,
1459,tebingtinggi,77.05,broken clouds,3.3285,99.1625,
1460,dong hoi,77.95,scattered clouds,17.4833,106.6,
1461,arraial do cabo,71.47,moderate rain,-22.9661,-42.0278,
1464,hilo,83.93,few clouds,19.7297,-155.09,
1469,puerto ayora,75.16,scattered clouds,-0.7393,-90.3518,
1473,san patricio,88.48,overcast clouds,28.017,-97.5169,
1476,touros,77.9,clear sky,-5.1989,-35.4608,
1479,cam ranh,78.76,scattered clouds,11.9214,109.1591,
1480,vaini,75.36,overcast clouds,-21.2,-175.2,
1481,noumea,81.0,clear sky,-22.2763,166.4572,
1484,san policarpo,80.17,heavy intensity rain,12.1791,125.5072,
1485,rikitea,73.63,broken clouds,-23.1203,-134.9692,
1491,atuona,77.7,light rain,-9.8,-139.0333,
1496,bodden town,83.93,scattered clouds,19.2833,-81.25,
1498,san patricio,88.48,overcast clouds,28.017,-97.5169,
1500,arraial do cabo,71.47,moderate rain,-22.9661,-42.0278,
1503,cayenne,84.09,clear sky,4.9333,-52.3333,
1505,ampanihy,73.94,scattered clouds,-24.7,44.75,
1506,luwuk,78.53,overcast clouds,-0.9516,122.7875,
1511,paka,73.33,scattered clouds,4.6374,103.4368,
1513,arraial do cabo,71.47,moderate rain,-22.9661,-42.0278,
1514,pedro ii,78.58,clear sky,-4.4247,-41.4586,
1516,rikitea,73.63,broken clouds,-23.1203,-134.9692,
1517,belmonte,77.5,clear sky,-15.8631,-38.8828,
1525,quirinopolis,85.15,overcast clouds,-18.4483,-50.4517,
1526,butaritari,82.42,overcast clouds,3.0707,172.7902,
1527,kapaa,78.19,light rain,22.0752,-159.319,
1530,avarua,78.85,broken clouds,-21.2078,-159.775,
1532,pinas,76.32,light rain,-3.6667,-79.65,
1533,kutum,76.75,broken clouds,14.2,24.6667,
1534,tahta,75.52,clear sky,26.7693,31.5021,
1537,rikitea,73.63,broken clouds,-23.1203,-134.9692,
1538,puerto ayora,75.16,scattered clouds,-0.7393,-90.3518,
1544,rikitea,73.63,broken clouds,-23.1203,-134.9692,
1545,rikitea,73.63,broken clouds,-23.1203,-134.9692,
1548,rikitea,73.63,broken clouds,-23.1203,-134.9692,
1550,faanui,78.91,scattered clouds,-16.4833,-151.75,
1551,hilo,83.93,few clouds,19.7297,-155.09,
1552,jimenez,77.74,overcast clouds,28.3333,-105.4,
1553,rikitea,73.63,broken clouds,-23.1203,-134.9692,
1554,kapaa,78.19,light rain,22.0752,-159.319,
1556,inhambane,72.09,light rain,-23.865,35.3833,
1558,camopi,76.95,overcast clouds,3.1655,-52.3158,
1571,port blair,80.06,light rain,11.6667,92.75,
1572,ponta do sol,76.01,overcast clouds,32.6667,-17.1,
1574,bambous virieux,72.21,light rain,-20.3428,57.7575,
